pokedex_number,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
305,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2
306,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2
307,1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1
308,1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1
309,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
310,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
311,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
312,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
313,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
314,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
315,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
316,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
317,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
318,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5
319,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5
320,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
321,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
322,0.5,1,1,0,0.5,1,0.5,1,1,1,2,1,1,0.5,1,1,0.5,4
323,0.5,1,1,0,0.5,1,0.5,1,1,1,2,1,1,0.5,1,1,0.5,4
324,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
325,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
326,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
327,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
328,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
329,1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1
330,1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1
331,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
332,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5
333,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
334,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5
335,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
336,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
337,2,2,1,1,1,1,0.5,0.5,2,2,2,1,0.5,0.5,0.5,1,2,2
338,2,2,1,1,1,1,0.5,0.5,2,2,2,1,0.5,0.5,0.5,1,2,2
339,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
340,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
341,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
342,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5
343,2,2,1,0,1,0.5,1,1,2,2,1,2,1,0.5,0.5,0.5,1,2
344,2,2,1,0,1,0.5,1,1,2,2,1,2,1,0.5,0.5,0.5,1,2
345,2,1,1,0.5,1,2,1,1,1,1,1,2,0.5,1,1,1,2,1
346,2,1,1,0.5,1,2,1,1,1,1,1,2,0.5,1,1,1,2,1
347,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2
348,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2
349,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
350,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
351,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
352,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
353,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
354,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
355,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
356,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
357,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
358,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
359,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
360,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
361,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
362,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
363,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
364,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
365,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
366,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
367,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
368,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
369,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
370,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
371,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
372,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
373,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5
374,1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1
375,1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1
376,1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1
377,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
378,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
379,0.5,1,0.5,1,0.5,2,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,0.5,1
380,2,2,2,0.5,2,0.5,0.5,1,2,0.5,1,2,1,1,0.5,1,1,0.5
381,2,2,2,0.5,2,0.5,0.5,1,2,0.5,1,2,1,1,0.5,1,1,0.5
382,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
383,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
384,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5
385,1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1
386,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
387,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
388,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
389,2,1,1,0,1,1,2,2,1,1,0.5,4,1,1,1,0.5,1,1
390,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
391,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2
392,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2
393,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
394,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
395,0.5,1,0.5,2,0.5,2,1,0.5,1,1,2,0.25,0.5,0,0.5,0.5,0.25,0.5
396,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
397,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
398,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
399,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
400,1,1,1,2,1,2,0.5,1,0,2,1,0.5,1,1,1,1,0.5,0.5
401,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
402,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
403,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
404,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
405,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
406,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
407,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
408,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
409,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
410,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2
411,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2
412,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
413,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5
414,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
415,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
416,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
417,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
418,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
419,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
420,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
421,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
422,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
423,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
424,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
425,0.25,2,1,2,1,0,1,1,2,0.5,0,2,0,0.5,1,2,1,1
426,0.25,2,1,2,1,0,1,1,2,0.5,0,2,0,0.5,1,2,1,1
427,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
428,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
429,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
430,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1
431,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
432,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
433,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
434,1,0.5,1,1,1,1,1,1,0.5,0.5,2,1,1,0.5,0,1,1,1
435,1,0.5,1,1,1,1,1,1,0.5,0.5,2,1,1,0.5,0,1,1,1
436,1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1
437,1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1
438,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
439,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
440,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
441,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
442,1,1,1,1,2,0,1,1,1,1,1,1,0,0.5,0,1,1,1
443,1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1
444,1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1
445,1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1
446,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
447,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
448,0.25,0.5,0.5,1,1,2,2,1,1,0.5,2,0.5,0.5,0,1,0.25,0.5,1
449,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
450,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
451,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
452,1,0.5,1,1,1,1,1,1,0.5,0.5,2,1,1,0.5,0,1,1,1
453,0.25,0.5,1,1,1,0.5,1,2,1,0.5,2,1,1,0.5,4,0.5,1,1
454,0.25,0.5,1,1,1,0.5,1,2,1,0.5,2,1,1,0.5,4,0.5,1,1
455,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
456,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
457,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
458,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
459,2,1,1,0.5,1,2,4,2,1,0.5,0.5,1,1,2,1,2,2,0.5
460,2,1,1,0.5,1,2,4,2,1,0.5,0.5,1,1,2,1,2,2,0.5
461,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1
462,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1
463,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
464,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
465,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
466,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
467,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
468,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1
469,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
470,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
471,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
472,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2
473,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2
474,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
475,1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1
476,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2
477,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
478,0.5,2,1,1,1,0,2,1,2,1,1,0.5,0,0.5,1,2,2,1
479,0.5,2,1,0.5,1,0,1,0.5,2,1,2,1,0,0.5,1,1,0.5,1
480,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
481,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
482,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
483,0.5,1,1,0.5,1,2,1,0.5,1,0.25,2,1,0.5,0,0.5,0.5,0.5,0.5
484,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25
485,0.25,1,0.5,1,0.25,2,1,0.5,1,0.25,4,0.25,0.5,0,0.5,1,0.25,2
486,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
487,0.5,2,2,0.5,2,0,0.5,1,2,0.5,1,2,0,0.5,1,1,1,0.5
488,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
489,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
490,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
491,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
492,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
493,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
494,1,2,1,1,0.5,0.5,0.5,1,2,0.5,2,0.5,1,1,0.5,2,0.5,2
495,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
496,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
497,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
498,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
499,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2
500,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2
501,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
502,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
503,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
504,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
505,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
506,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
507,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
508,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
509,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
510,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
511,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
512,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
513,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
514,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
515,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
516,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
517,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
518,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
519,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
520,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
521,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
522,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
523,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
524,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
525,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
526,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
527,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1
528,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1
529,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
530,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2
531,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
532,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
533,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
534,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
535,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
536,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
537,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
538,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
539,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
540,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5
541,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5
542,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5
543,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
544,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
545,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
546,1,0.5,0,0.5,1,0.5,2,2,1,0.5,0.5,2,1,4,1,1,2,0.5
547,1,0.5,0,0.5,1,0.5,2,2,1,0.5,0.5,2,1,4,1,1,2,0.5
548,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
549,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
550,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
551,2,0.5,1,0,2,2,1,1,0.5,2,1,2,1,0.5,0,0.5,1,2
552,2,0.5,1,0,2,2,1,1,0.5,2,1,2,1,0.5,0,0.5,1,2
553,2,0.5,1,0,2,2,1,1,0.5,2,1,2,1,0.5,0,0.5,1,2
554,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
555,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
556,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
557,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2
558,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2
559,1,0.25,1,1,4,2,1,2,0.5,1,1,1,1,1,0,0.5,1,1
560,1,0.25,1,1,4,2,1,2,0.5,1,1,1,1,1,0,0.5,1,1
561,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1
562,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
563,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
564,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
565,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
566,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2
567,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2
568,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
569,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
570,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
571,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
572,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
573,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
574,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
575,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
576,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
577,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
578,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
579,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
580,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
581,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
582,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
583,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
584,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
585,2,1,1,0.5,1,2,2,2,0,0.5,0.5,2,1,2,1,1,1,0.5
586,2,1,1,0.5,1,2,2,2,0,0.5,0.5,2,1,2,1,1,1,0.5
587,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1
588,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
589,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1
590,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
591,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
592,0.5,2,1,2,1,0,0.5,1,2,2,1,0.5,0,0.5,1,1,0.5,0.5
593,0.5,2,1,2,1,0,0.5,1,2,2,1,0.5,0,0.5,1,1,0.5,0.5
594,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
595,1,1,1,0.5,1,0.5,2,1,1,0.5,1,1,1,1,1,2,0.5,1
596,1,1,1,0.5,1,0.5,2,1,1,0.5,1,1,1,1,1,2,0.5,1
597,1,1,0.5,0.5,0.5,2,4,1,1,0.25,1,1,0.5,0,0.5,0.5,0.5,0.5
598,1,1,0.5,0.5,0.5,2,4,1,1,0.25,1,1,0.5,0,0.5,0.5,0.5,0.5
599,0.5,1,0.5,1,0.5,2,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,0.5,1
600,0.5,1,0.5,1,0.5,2,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,0.5,1
601,0.5,1,0.5,1,0.5,2,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,0.5,1
602,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
603,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
604,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
605,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
606,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
607,0.25,2,1,1,0.5,0,0.5,1,2,0.5,2,0.5,0,0.5,1,2,0.5,2
608,0.25,2,1,1,0.5,0,0.5,1,2,0.5,2,0.5,0,0.5,1,2,0.5,2
609,0.25,2,1,1,0.5,0,0.5,1,2,0.5,2,0.5,0,0.5,1,2,0.5,2
